distance,duration
0.07,1
0.09,1
0.1,1
0.11,1
0.12,1
0.13,1
0.14,1
0.15,1
0.16,1
0.18,2
0.21,2
0.22,2
0.23,2
0.24,2
0.25,2
0.26,2
0.27,2
0.28,2
0.29,2
0.3,2
0.31,2
0.32,2
0.33,2
0.34,3
0.35,3
0.37,3
0.38,3
0.39,3
0.4,3
0.41,3
0.42,3
0.43,3
0.44,3
0.45,3
0.46,3
0.47,3
0.48,3
0.49,3
0.5,3
0.51,4
0.52,4
0.53,4
0.54,4
0.55,4
0.56,4
0.57,4
0.58,4
0.59,4
0.6,4
0.61,4
0.62,4
0.63,4
0.64,4
0.65,4
0.66,4
0.67,5
0.68,5
0.69,5
0.7,5
0.71,5
0.72,5
0.73,5
0.74,5
0.75,5
0.76,5
0.77,5
0.78,5
0.79,5
0.8,5
0.81,5
0.82,5
0.83,5
0.84,6
0.85,6
0.86,6
0.87,6
0.88,6
0.89,6
0.9,6
0.91,6
0.92,6
0.93,6
0.94,6
0.95,6
0.96,6
0.97,6
0.98,6
0.99,6
1,6
1.01,7
1.02,7
1.03,7
1.04,7
1.05,7
1.06,7
1.07,7
1.08,7
1.09,7
1.1,7
1.11,7
1.12,7
1.13,7
1.14,7
1.15,7
1.16,7
1.17,8
1.18,8
1.19,8
1.2,8
1.21,8
1.22,8
1.23,8
1.24,8
1.25,8
1.26,8
1.27,8
1.28,8
1.29,8
1.3,8
1.31,8
1.32,8
1.33,8
1.34,9
1.35,9
1.36,9
1.37,9
1.38,9
1.39,9
1.4,9
1.41,9
1.42,9
1.43,9
1.44,9
1.45,9
1.46,9
1.47,9
1.48,9
1.49,9
1.5,9
1.51,10
1.52,10
1.53,10
1.54,10
1.55,10
1.56,10
1.57,10
1.58,10
1.59,10
1.6,10
1.61,10
1.62,10
1.63,10
1.64,10
1.65,10
1.66,10
1.67,11
1.68,11
1.69,11
1.7,11
1.71,11
1.72,11
1.73,11
1.74,11
1.75,11
1.76,11
1.77,11
1.78,11
1.79,11
1.8,11
1.81,11
1.82,11
1.83,11
1.84,12
1.85,12
1.86,12
1.87,12
1.88,12
1.89,12
1.9,12
1.91,12
1.92,12
1.93,12
1.94,12
1.95,12
1.96,12
1.97,12
1.98,12
1.99,12
2,12
2.01,13
2.02,13
2.03,13
2.04,13
2.05,13
2.06,13
2.07,13
2.08,13
2.09,13
2.1,13
2.11,13
2.12,13
2.13,13
2.14,13
2.15,13
2.16,13
2.17,14
2.18,14
2.19,14
2.2,14
2.21,14
2.22,14
2.23,14
2.24,14
2.25,14
2.26,14
2.27,14
2.28,14
2.29,14
2.3,14
2.31,14
2.32,14
2.33,14
2.34,15
2.35,15
2.36,15
2.37,15
2.38,15
2.39,15
2.4,15
2.41,15
2.42,15
2.43,15
2.44,15
2.45,15
2.46,15
2.47,15
2.48,15
2.49,15
2.5,15
2.51,16
2.52,16
2.53,16
2.54,16
2.55,16
2.56,16
2.57,16
2.58,16
2.59,16
2.6,16
2.61,16
2.62,16
2.63,16
2.64,16
2.65,16
2.66,16
2.67,17
2.68,17
2.69,17
2.7,17
2.71,17
2.72,17
2.73,17
2.74,17
2.75,17
2.76,17
2.77,17
2.78,17
2.79,17
2.8,17
2.81,17
2.82,17
2.83,17
2.84,18
2.85,18
2.86,18
2.87,18
2.88,18
2.89,18
2.9,18
2.91,18
2.92,18
2.93,18
2.94,18
2.95,18
2.96,18
2.97,18
2.98,18
2.99,18
3,18
